%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=1, 2016/03/24 13:3:32.66)
1 13 2.338159e+00 0 0 2.321702e+00 2.319130e+00 2.319625e+00 2.338970e+00 2.323187e+00 2.328771e+00 2.340395e+00 2.329994e+00 2.323430e+00 2.333510e+00 2.323230e+00 2.362669e+00 2.318855e+00 2.337985e+00 2.337039e+00 
2 25 2.346028e+00 0 0 2.319354e+00 2.315156e+00 2.312203e+00 2.337740e+00 2.364222e+00 2.359723e+00 2.362578e+00 2.321114e+00 2.314412e+00 2.352691e+00 2.361744e+00 2.359880e+00 2.335347e+00 2.341712e+00 2.333931e+00 
3 37 2.354997e+00 0 0 2.310928e+00 2.306601e+00 2.299302e+00 2.333836e+00 2.367460e+00 2.403519e+00 2.377482e+00 2.330236e+00 2.347402e+00 2.350817e+00 2.370726e+00 2.381552e+00 2.330728e+00 2.332935e+00 2.336919e+00 
4 49 2.467953e+00 0 0 2.411955e+00 2.405851e+00 2.396534e+00 2.436942e+00 2.472141e+00 2.548814e+00 2.494238e+00 2.430965e+00 2.487313e+00 2.439314e+00 2.473137e+00 2.512269e+00 2.488388e+00 2.440706e+00 2.454076e+00 
5 61 2.591344e+00 0 0 2.511901e+00 2.518684e+00 2.515601e+00 2.564152e+00 2.605759e+00 2.709532e+00 2.658787e+00 2.544862e+00 2.628100e+00 2.537585e+00 2.607463e+00 2.655204e+00 2.624470e+00 2.548767e+00 2.563914e+00 
6 73 2.627416e+00 0 0 2.534182e+00 2.548369e+00 2.529924e+00 2.588096e+00 2.680205e+00 2.763142e+00 2.701687e+00 2.562628e+00 2.670161e+00 2.599269e+00 2.700780e+00 2.683693e+00 2.659495e+00 2.568371e+00 2.584027e+00 
7 85 2.623142e+00 0 0 2.522379e+00 2.529885e+00 2.516605e+00 2.595125e+00 2.680250e+00 2.748658e+00 2.683986e+00 2.559983e+00 2.661356e+00 2.631171e+00 2.710561e+00 2.663566e+00 2.645501e+00 2.555450e+00 2.567181e+00 
8 97 2.649148e+00 0 0 2.523976e+00 2.536430e+00 2.554416e+00 2.607626e+00 2.737709e+00 2.766930e+00 2.700280e+00 2.575203e+00 2.731422e+00 2.658130e+00 2.728341e+00 2.670210e+00 2.653850e+00 2.563165e+00 2.586939e+00 
9 109 2.594051e+00 0 0 2.455006e+00 2.460485e+00 2.561757e+00 2.544443e+00 2.695524e+00 2.694218e+00 2.637251e+00 2.505545e+00 2.662967e+00 2.590498e+00 2.650495e+00 2.603755e+00 2.583340e+00 2.519778e+00 2.564543e+00 
10 121 2.548850e+00 0 0 2.401245e+00 2.398824e+00 2.555611e+00 2.481270e+00 2.630640e+00 2.632789e+00 2.593144e+00 2.472012e+00 2.601572e+00 2.526808e+00 2.608162e+00 2.541638e+00 2.518934e+00 2.467218e+00 2.515727e+00 
11 133 2.400860e+00 0 0 2.250611e+00 2.248123e+00 2.414309e+00 2.327768e+00 2.466925e+00 2.465835e+00 2.428527e+00 2.317149e+00 2.469532e+00 2.359861e+00 2.445232e+00 2.389447e+00 2.355019e+00 2.308533e+00 2.365120e+00 
12 145 2.367345e+00 0 0 2.204892e+00 2.201398e+00 2.385446e+00 2.291051e+00 2.417889e+00 2.416864e+00 2.386278e+00 2.307326e+00 2.425860e+00 2.335243e+00 2.405900e+00 2.398333e+00 2.302464e+00 2.264562e+00 2.319524e+00 
13 157 2.359326e+00 0 0 2.188862e+00 2.175364e+00 2.374417e+00 2.284367e+00 2.400586e+00 2.397880e+00 2.367708e+00 2.295928e+00 2.423167e+00 2.333990e+00 2.385829e+00 2.417681e+00 2.320382e+00 2.247894e+00 2.308881e+00 
14 169 2.326072e+00 0 0 2.156806e+00 2.171449e+00 2.332656e+00 2.247115e+00 2.352616e+00 2.351809e+00 2.323180e+00 2.260654e+00 2.388098e+00 2.291049e+00 2.336092e+00 2.374290e+00 2.279878e+00 2.202156e+00 2.300781e+00 
15 181 2.292769e+00 0 0 2.141425e+00 2.126158e+00 2.277578e+00 2.192927e+00 2.312136e+00 2.299262e+00 2.299495e+00 2.214583e+00 2.331755e+00 2.248414e+00 2.289079e+00 2.322972e+00 2.248385e+00 2.161642e+00 2.289175e+00 
16 193 2.229975e+00 0 0 2.094734e+00 2.060095e+00 2.199108e+00 2.117286e+00 2.280999e+00 2.214841e+00 2.238553e+00 2.147422e+00 2.247023e+00 2.174351e+00 2.234167e+00 2.286647e+00 2.174701e+00 2.091098e+00 2.217547e+00 
17 205 2.252400e+00 0 0 2.157827e+00 2.064269e+00 2.209321e+00 2.123101e+00 2.291844e+00 2.232752e+00 2.248972e+00 2.177083e+00 2.260472e+00 2.189427e+00 2.255851e+00 2.310443e+00 2.195783e+00 2.106293e+00 2.229370e+00 
18 217 2.196950e+00 0 0 2.102702e+00 2.004139e+00 2.155422e+00 2.068917e+00 2.229531e+00 2.165628e+00 2.184353e+00 2.134765e+00 2.189364e+00 2.121088e+00 2.208356e+00 2.245372e+00 2.124126e+00 2.037625e+00 2.158085e+00 
19 229 2.264923e+00 0 0 2.192715e+00 2.064677e+00 2.206669e+00 2.134808e+00 2.298163e+00 2.229530e+00 2.236650e+00 2.212239e+00 2.307580e+00 2.169229e+00 2.261998e+00 2.317488e+00 2.200914e+00 2.084621e+00 2.229457e+00 
20 241 2.138274e+00 0 0 2.080920e+00 1.938588e+00 2.067690e+00 2.001157e+00 2.164215e+00 2.088738e+00 2.120368e+00 2.072354e+00 2.179985e+00 2.040811e+00 2.125059e+00 2.188049e+00 2.071650e+00 1.959973e+00 2.118894e+00 
21 253 2.024331e+00 0 0 1.988326e+00 1.827871e+00 1.942084e+00 1.892637e+00 2.050740e+00 1.970164e+00 2.001685e+00 1.957135e+00 2.056435e+00 1.931480e+00 2.043803e+00 2.074819e+00 1.952401e+00 1.851599e+00 1.998590e+00 
22 265 2.061912e+00 0 0 2.034296e+00 1.852165e+00 1.962112e+00 1.915172e+00 2.106387e+00 1.996433e+00 2.033325e+00 2.007374e+00 2.098591e+00 1.994996e+00 2.069244e+00 2.107539e+00 1.985268e+00 1.875061e+00 2.021372e+00 
23 277 2.035429e+00 0 0 1.996330e+00 1.838253e+00 1.925335e+00 1.877234e+00 2.076012e+00 1.954002e+00 1.991719e+00 2.000433e+00 2.073251e+00 1.961366e+00 2.078530e+00 2.060081e+00 1.944150e+00 1.843494e+00 1.988589e+00 
